timestamp_ns,mapping,last_index,mapping_nrpages,tgid,window_id,sample_count,seq_ratio_10000,revisit_ratio_10000,dirty_ratio_10000,smoothed_seq_10000,smoothed_revisit_10000,smoothed_dirty_10000,old_state,new_state,cooldown_windows,hot_streak,weak_pollution_streak,stream_candidate,hot_backoff,weak_backoff
4292354288669,18446612689242697192,1030,1152,9115,0,64,7812,0,0,1953,0,0,0,0,0,0,0,1,0,0
4292360912834,18446612689242697192,2096,2097,9115,1,64,8125,312,0,3496,78,0,0,0,0,0,0,1,0,0
4292367811069,18446612689242697192,3219,3220,9115,2,64,7812,0,0,4575,58,0,0,0,0,0,0,1,0,0
4292372703194,18446612689242697192,4117,4224,9115,3,64,8593,468,0,5579,160,0,0,0,0,0,0,1,0,0
4292379463226,18446612689242697192,5358,5440,9115,4,64,8125,156,0,6215,159,0,0,0,0,0,0,1,0,0
4292386149171,18446612689242697192,6572,6573,9115,5,64,7968,0,0,6653,119,0,0,0,0,0,0,1,0,0
4292392525993,18446612689242697192,7518,7519,9115,6,64,8593,468,0,7138,206,0,0,0,0,0,0,1,0,0
4292398775495,18446612689242697192,8500,8501,9115,7,64,8593,0,0,7501,154,0,0,0,0,0,0,1,0,0
4292405595075,18446612689242697192,9468,9536,9115,8,64,8125,0,0,7657,115,0,0,0,0,0,0,1,0,0
4292412167403,18446612689242697192,10666,10667,9115,9,64,8125,156,0,7774,125,0,0,0,0,0,0,1,0,0
4292419293538,18446612689242697192,11683,11684,9115,10,64,7968,468,0,7822,210,0,0,0,0,0,0,1,0,0
4292424759592,18446612689242697192,12716,12717,9115,11,64,8125,156,0,7897,196,0,0,0,0,0,0,1,0,0
4292429385329,18446612689242697192,13459,13568,9115,12,64,8593,468,0,8071,264,0,0,0,0,0,0,1,0,0
4292436012827,18446612689242697192,14785,14786,9115,13,64,8281,0,0,8123,198,0,0,0,0,0,0,1,0,0
4292442370540,18446612689242697192,15993,16064,9115,14,64,7656,0,0,8006,148,0,0,0,0,0,0,1,0,0
4292448430254,18446612689242697192,17117,17216,9115,15,64,7968,156,0,7996,150,0,0,0,0,0,0,1,0,0
4292459361177,18446612689242697192,18420,18421,9115,16,64,7812,312,0,7950,190,0,0,0,0,0,0,1,0,0
4292466689858,18446612689242697192,19583,19584,9115,17,64,7656,312,0,7876,220,0,0,0,0,0,0,1,0,0
4292473059113,18446612689242697192,20595,20672,9115,18,64,7812,468,0,7860,282,0,0,0,0,0,0,1,0,0
4292479346763,18446612689242697192,21703,21824,9115,19,64,7656,0,0,7809,211,0,0,0,0,0,0,1,0,0
4292485699287,18446612689242697192,22880,22976,9115,20,64,8281,312,0,7927,236,0,0,0,0,0,0,1,0,0
4292490697228,18446612689242697192,23812,23813,9115,21,64,8437,0,0,8054,177,0,0,0,0,0,0,1,0,0
4292495995053,18446612689242697192,24668,24768,9115,22,64,7812,0,0,7993,132,0,0,0,0,0,0,1,0,0
4292502145983,18446612689242697192,25777,25856,9115,23,64,7968,156,0,7986,138,0,0,0,0,0,0,1,0,0
4292509780960,18446612689242697192,27113,27114,9115,24,64,7968,156,0,7981,142,0,0,0,0,0,0,1,0,0
4292517167427,18446612689242697192,28207,28208,9115,25,64,7812,156,0,7938,145,0,0,0,0,0,0,1,0,0
4292523181429,18446612689242697192,29168,29169,9115,26,64,8593,156,0,8101,147,0,0,0,0,0,0,1,0,0
4292530098690,18446612689242697192,30171,30272,9115,27,64,7812,156,0,8028,149,0,0,0,0,0,0,1,0,0
4292535735970,18446612689242697192,31200,31201,9115,28,64,8281,0,0,8091,111,0,0,0,0,0,0,1,0,0
4292541296726,18446612689242697192,32160,32161,9115,29,64,8125,156,0,8099,122,0,0,0,0,0,0,1,0,0
4292549044083,18446612689242697192,33302,33303,9115,30,64,7656,156,0,7988,130,0,0,0,0,0,0,1,0,0
4292554236267,18446612689242697192,34313,34314,9115,31,64,8125,156,0,8022,136,0,0,0,0,0,0,1,0,0
4292559999686,18446612689242697192,35229,35328,9115,32,64,7968,156,0,8008,141,0,0,0,0,0,0,1,0,0
4292566279831,18446612689242697192,36364,36480,9115,33,64,7812,0,0,7959,105,0,0,0,0,0,0,1,0,0
4292571688036,18446612689242697192,37552,37553,9115,34,64,7812,156,0,7922,117,0,0,0,0,0,0,1,0,0
4292578209843,18446612689242697192,38453,38528,9115,35,64,8281,625,0,8011,244,0,0,0,0,0,0,1,0,0
4292584276709,18446612689242697192,39584,39585,9115,36,64,8125,0,0,8039,183,0,0,0,0,0,0,1,0,0
4292590182803,18446612689242697192,40458,40576,9115,37,64,7968,156,0,8021,176,0,0,0,0,0,0,1,0,0
4292595261431,18446612689242697192,41319,41408,9115,38,64,8281,0,0,8086,132,0,0,0,0,0,0,1,0,0
4292600381791,18446612689242697192,42348,42432,9115,39,64,8125,0,0,8095,99,0,0,0,0,0,0,1,0,0
4292605700993,18446612689242697192,43382,43456,9115,40,64,8281,0,0,8141,74,0,0,0,0,0,0,1,0,0
4292611190162,18446612689242697192,44543,44544,9115,41,64,8437,156,0,8215,94,0,0,1,0,0,0,1,0,0
4292617385134,18446612689242697192,45586,45587,9115,42,64,8125,312,0,8192,148,0,1,1,0,0,0,1,0,0
4292622942291,18446612689242697192,46413,46528,9115,43,64,8125,468,0,8175,228,0,1,1,0,0,0,1,0,0
4292628432622,18446612689242697192,47450,47451,9115,44,64,8281,0,0,8201,171,0,1,1,0,0,0,1,0,0
4292637508106,18446612689242697192,48413,48512,9115,45,64,7968,156,0,8142,167,0,1,1,0,0,0,1,0,0
4292643063542,18446612689242697192,49532,49533,9115,46,64,8281,312,0,8176,203,0,1,1,0,0,0,1,0,0
4292649865422,18446612689242697192,50584,50688,9115,47,64,7812,156,0,8085,191,0,1,1,0,0,0,1,0,0
4292657335903,18446612689242697192,51891,51892,9115,48,64,8125,312,0,8095,221,0,1,1,0,0,0,1,0,0
4292663016194,18446612689242697192,52941,52942,9115,49,64,8125,156,0,8102,204,0,1,1,0,0,0,1,0,0
4292668310487,18446612689242697192,53839,53952,9115,50,64,7812,156,0,8029,192,0,1,1,0,0,0,1,0,0
4292674837309,18446612689242697192,54994,55104,9115,51,64,7500,156,0,7896,183,0,1,1,0,0,0,1,0,0
4292682093051,18446612689242697192,56073,56192,9115,52,64,7656,0,0,7836,137,0,1,1,0,0,0,1,0,0
4292686768808,18446612689242697192,57059,57060,9115,53,64,8281,312,0,7947,180,0,1,1,0,0,0,1,0,0
4292694029738,18446612689242697192,58064,58176,9115,54,64,8281,0,0,8030,135,0,1,1,0,0,0,1,0,0
4292702643062,18446612689242697192,59039,59136,9115,55,64,7812,0,0,7975,101,0,1,1,0,0,0,1,0,0
4292709264604,18446612689242697192,60060,60160,9115,56,64,7968,156,0,7973,114,0,1,1,0,0,0,1,0,0
4292713271298,18446612689242697192,60936,60937,9115,57,64,8281,625,0,8050,241,0,1,1,0,0,0,1,0,0
4292719615541,18446612689242697192,61905,62016,9115,58,64,8281,156,0,8107,219,0,1,1,0,0,0,1,0,0
4292726048374,18446612689242697192,63124,63125,9115,59,64,8750,0,0,8267,164,0,1,1,0,0,0,1,0,0
4292731378418,18446612689242697192,64033,64128,9115,60,64,8281,156,0,8270,162,0,1,1,0,0,0,1,0,0
4292736658409,18446612689242697192,65165,65166,9115,61,64,8281,468,0,8272,238,0,1,1,0,0,0,1,0,0
4292742540468,18446612689242697192,66017,66112,9115,62,64,7812,0,0,8157,178,0,1,1,0,0,0,1,0,0
4292748729189,18446612689242697192,67053,67136,9115,63,64,7656,156,0,8031,172,0,1,1,0,0,0,1,0,0
4292752928042,18446612689242697192,67976,67977,9115,64,64,8281,312,0,8093,207,0,1,1,0,0,0,1,0,0
4292758165669,18446612689242697192,69044,69045,9115,65,64,8125,156,0,8101,194,0,1,1,0,0,0,1,0,0
4292764544506,18446612689242697192,70174,70175,9115,66,64,8125,156,0,8107,184,0,1,1,0,0,0,1,0,0
4292771265173,18446612689242697192,71103,71232,9115,67,64,7656,312,0,7994,216,0,1,1,0,0,0,1,0,0
4292776833335,18446612689242697192,72115,72116,9115,68,64,8125,156,0,8026,201,0,1,1,0,0,0,1,0,0
4292783884947,18446612689242697192,73132,73216,9115,69,64,7812,156,0,7972,189,0,1,1,0,0,0,1,0,0
4292789248753,18446612689242697192,74129,74130,9115,70,64,8437,156,0,8088,180,0,1,1,0,0,0,1,0,0
4292795419681,18446612689242697192,75230,75328,9115,71,64,8437,156,0,8175,174,0,1,1,0,0,0,1,0,0
4292800458615,18446612689242697192,76269,76270,9115,72,64,8281,0,0,8201,130,0,1,1,0,0,0,1,0,0
4292809056299,18446612689242697192,77281,77282,9115,73,64,8281,0,0,8221,97,0,1,1,0,0,0,1,0,0
4292817018627,18446612689242697192,78083,78208,9115,74,64,7812,156,0,8118,111,0,1,1,0,0,0,1,0,0
4292826748050,18446612689242697192,79522,79616,9115,75,64,7500,312,0,7963,161,0,1,1,0,0,0,1,0,0
4292834547073,18446612689242697192,80785,80786,9115,76,64,8125,468,0,8003,237,0,1,1,0,0,0,1,0,0
4292842840769,18446612689242697192,81843,81844,9115,77,64,8125,156,0,8033,216,0,1,1,0,0,0,1,0,0
4292851847153,18446612689242697192,82928,82929,9115,78,64,7812,0,0,7977,162,0,1,1,0,0,0,1,0,0
4292860949072,18446612689242697192,84181,84182,9115,79,64,8125,156,0,8014,160,0,1,1,0,0,0,1,0,0
4292868747742,18446612689242697192,85409,85410,9115,80,64,7968,156,0,8002,159,0,1,1,0,0,0,1,0,0
4292874053779,18446612689242697192,86240,86241,9115,81,64,7968,0,0,7993,119,0,1,1,0,0,0,1,0,0
4292880223463,18446612689242697192,87178,87179,9115,82,64,8281,312,0,8065,167,0,1,1,0,0,0,1,0,0
4292885946626,18446612689242697192,88043,88044,9115,83,64,8281,156,0,8119,164,0,1,1,0,0,0,1,0,0
4292894289519,18446612689242697192,89023,89152,9115,84,64,7968,0,0,8081,123,0,1,1,0,0,0,1,0,0
4292901524591,18446612689242697192,90286,90287,9115,85,64,8125,156,0,8092,131,0,1,1,0,0,0,1,0,0
4292907337310,18446612689242697192,91221,91222,9115,86,64,8125,312,0,8100,176,0,1,1,0,0,0,1,0,0
4292913669205,18446612689242697192,92225,92226,9115,87,64,7968,312,0,8067,210,0,1,1,0,0,0,1,0,0
4292919347170,18446612689242697192,93166,93167,9115,88,64,8125,156,0,8081,196,0,1,1,0,0,0,1,0,0
4292924530239,18446612689242697192,94088,94089,9115,89,64,7968,0,0,8052,147,0,1,1,0,0,0,1,0,0
4292932369500,18446612689242697192,94994,95104,9115,90,64,7656,156,0,7953,149,0,1,1,0,0,0,1,0,0
4292938605019,18446612689242697192,95948,96064,9115,91,64,8125,0,0,7996,111,0,1,1,0,0,0,1,0,0
4292943627152,18446612689242697192,96728,96832,9115,92,64,8281,156,0,8067,122,0,1,1,0,0,0,1,0,0
4292949280766,18446612689242697192,97720,97721,9115,93,64,8125,0,0,8081,91,0,1,1,0,0,0,1,0,0
4292959889378,18446612689242697192,98684,98816,9115,94,64,7500,0,0,7935,68,0,1,1,0,0,0,1,0,0
4292967243851,18446612689242697192,99791,99792,9115,95,64,8125,156,0,7982,90,0,1,1,0,0,0,1,0,0
4292974202849,18446612689242697192,100805,100928,9115,96,64,7500,312,0,7861,145,0,1,1,0,0,0,1,0,0
4292981223008,18446612689242697192,102102,102103,9115,97,64,8437,0,0,8005,108,0,1,1,0,0,0,1,0,0
4292987892412,18446612689242697192,103125,103232,9115,98,64,7968,156,0,7995,120,0,1,1,0,0,0,1,0,0
4292993536552,18446612689242697192,104115,104192,9115,99,64,7968,312,0,7988,168,0,1,1,0,0,0,1,0,0
4293000292611,18446612689242697192,105063,105152,9115,100,64,7968,156,0,7983,165,0,1,1,0,0,0,1,0,0
4293007865397,18446612689242697192,106219,106304,9115,101,64,7656,0,0,7901,123,0,1,1,0,0,0,1,0,0
4293014516965,18446612689242697192,107301,107392,9115,102,64,8125,156,0,7957,131,0,1,1,0,0,0,1,0,0
4293022721465,18446612689242697192,108570,108672,9115,103,64,7812,156,0,7920,137,0,1,1,0,0,0,1,0,0
4293028155048,18446612689242697192,109559,109560,9115,104,64,8125,0,0,7971,102,0,1,1,0,0,0,1,0,0
4293033994181,18446612689242697192,110371,110464,9115,105,64,7968,0,0,7970,76,0,1,1,0,0,0,1,0,0
4293041199488,18446612689242697192,111463,111552,9115,106,64,8125,156,0,8008,96,0,1,1,0,0,0,1,0,0
4293048554743,18446612689242697192,112760,112761,9115,107,64,7968,156,0,7998,111,0,1,1,0,0,0,1,0,0
4293054317864,18446612689242697192,113715,113716,9115,108,64,8437,312,0,8107,161,0,1,1,0,0,0,1,0,0
4293059922379,18446612689242697192,114547,114624,9115,109,64,7812,156,0,8033,159,0,1,1,0,0,0,1,0,0
4293065995864,18446612689242697192,115598,115599,9115,110,64,8281,0,0,8095,119,0,1,1,0,0,0,1,0,0
4293072879293,18446612689242697192,116628,116736,9115,111,64,7812,156,0,8024,128,0,1,1,0,0,0,1,0,0
4293078498193,18446612689242697192,117578,117696,9115,112,64,7968,312,0,8010,174,0,1,1,0,0,0,1,0,0
4293086166864,18446612689242697192,118751,118752,9115,113,64,8281,0,0,8077,130,0,1,1,0,0,0,1,0,0
4293092271603,18446612689242697192,119628,119744,9115,114,64,8281,156,0,8128,136,0,1,1,0,0,0,1,0,0
4293098183980,18446612689242697192,120723,120724,9115,115,64,8281,312,0,8166,180,0,1,1,0,0,0,1,0,0
4293103536026,18446612689242697192,121650,121651,9115,116,64,8281,156,0,8194,174,0,1,1,0,0,0,1,0,0
4293111365146,18446612689242697192,122725,122816,9115,117,64,7812,156,0,8098,169,0,1,1,0,0,0,1,0,0
4293118371095,18446612689242697192,123798,123904,9115,118,64,7500,156,0,7948,165,0,1,1,0,0,0,1,0,0
4293125374225,18446612689242697192,124783,124864,9115,119,64,8437,156,0,8070,162,0,1,1,0,0,0,1,0,0
4293133215926,18446612689242697192,126183,126184,9115,120,64,7968,156,0,8044,160,0,1,1,0,0,0,1,0,0
4293139124980,18446612689242697192,127139,127140,9115,121,64,8281,0,0,8103,120,0,1,1,0,0,0,1,0,0
4293144882650,18446612689242697192,127891,128000,9115,122,64,8593,312,0,8225,168,0,1,1,0,0,0,1,0,0
4293149992386,18446612689242697192,128753,128832,9115,123,64,8437,0,0,8278,126,0,1,1,0,0,0,1,0,0
4293156497928,18446612689242697192,129846,129920,9115,124,64,8437,0,0,8317,94,0,1,1,0,0,0,1,0,0
4293162342437,18446612689242697192,130853,130944,9115,125,64,8281,156,0,8308,109,0,1,1,0,0,0,1,0,0
4293167999098,18446612689242697192,131921,131922,9115,126,64,7968,156,0,8223,120,0,1,1,0,0,0,1,0,0
4293174515893,18446612689242697192,132813,132928,9115,127,64,7812,156,0,8120,129,0,1,1,0,0,0,1,0,0
4293180495950,18446612689242697192,133954,133955,9115,128,64,8281,156,0,8160,135,0,1,1,0,0,0,1,0,0
4293186354436,18446612689242697192,134913,134914,9115,129,64,8437,312,0,8229,179,0,1,1,0,0,0,1,0,0
4293194607779,18446612689242697192,136125,136126,9115,130,64,8437,0,0,8281,134,0,1,1,0,0,0,1,0,0
4293205399785,18446612689242697192,137192,137193,9115,131,64,7812,156,0,8163,139,0,1,1,0,0,0,1,0,0
4293211983841,18446612689242697192,138249,138250,9115,132,64,8125,0,0,8153,104,0,1,1,0,0,0,1,0,0
4293217195643,18446612689242697192,139108,139109,9115,133,64,8125,156,0,8146,117,0,1,1,0,0,0,1,0,0
4293224580865,18446612689242697192,140182,140288,9115,134,64,7500,156,0,7984,126,0,1,1,0,0,0,1,0,0
4293230373129,18446612689242697192,141152,141248,9115,135,64,7968,0,0,7980,94,0,1,1,0,0,0,1,0,0
4293239069943,18446612689242697192,142432,142433,9115,136,64,7656,0,0,7899,70,0,1,1,0,0,0,1,0,0
4293246049045,18446612689242697192,143518,143616,9115,137,64,7812,312,0,7877,130,0,1,1,0,0,0,1,0,0
4293252790362,18446612689242697192,144550,144640,9115,138,64,7812,0,0,7860,97,0,1,1,0,0,0,1,0,0
4293259395307,18446612689242697192,145785,145786,9115,139,64,8281,156,0,7965,111,0,1,1,0,0,0,1,0,0
4293265737813,18446612689242697192,146743,146744,9115,140,64,8281,156,0,8044,122,0,1,1,0,0,0,1,0,0
4293276041113,18446612689242697192,148100,148224,9115,141,64,7812,0,0,7986,91,0,1,1,0,0,0,1,0,0
4293280766972,18446612689242697192,148983,149056,9115,142,64,8437,312,0,8098,146,0,1,1,0,0,0,1,0,0
4293286774881,18446612689242697192,149879,149952,9115,143,64,8125,156,0,8104,148,0,1,1,0,0,0,1,0,0
4293294185175,18446612689242697192,151000,151104,9115,144,64,7656,156,0,7992,150,0,1,1,0,0,0,1,0,0
4293299442390,18446612689242697192,151873,151874,9115,145,64,8437,312,0,8103,190,0,1,1,0,0,0,1,0,0
4293307199298,18446612689242697192,152677,152768,9115,146,64,8125,156,0,8108,181,0,1,1,0,0,0,1,0,0
4293312994013,18446612689242697192,153664,153665,9115,147,64,8281,468,0,8151,252,0,1,1,0,0,0,1,0,0
4293320858125,18446612689242697192,154765,154880,9115,148,64,7968,0,0,8105,189,0,1,1,0,0,0,1,0,0
4293328823248,18446612689242697192,155806,155904,9115,149,64,8437,312,0,8188,219,0,1,1,0,0,0,1,0,0
4293335725424,18446612689242697192,156848,156928,9115,150,64,7968,0,0,8133,164,0,1,1,0,0,0,1,0,0
4293341793655,18446612689242697192,157707,157824,9115,151,64,7968,156,0,8091,162,0,1,1,0,0,0,1,0,0
4293347628195,18446612689242697192,158651,158720,9115,152,64,8437,312,0,8177,199,0,1,1,0,0,0,1,0,0
4293353271956,18446612689242697192,159666,159667,9115,153,64,8437,312,0,8242,227,0,1,1,0,0,0,1,0,0
4293358930183,18446612689242697192,160524,160525,9115,154,64,8125,0,0,8212,170,0,1,1,0,0,0,1,0,0
4293364747635,18446612689242697192,161525,161526,9115,155,64,8125,0,0,8190,127,0,1,1,0,0,0,1,0,0
4293372031010,18446612689242697192,162510,162255,9115,156,64,7968,156,0,8134,134,0,1,1,0,0,0,1,0,0
4293384540764,18446612689242697192,163602,161750,9115,157,64,8437,156,0,8209,139,0,1,1,0,0,0,1,0,0
4293398917170,18446612689242697192,164781,162443,9115,158,64,7812,0,0,8109,104,0,1,1,0,0,0,1,0,0
4293408586101,18446612689242697192,165887,161869,9115,159,64,8437,0,0,8191,78,0,1,1,0,0,0,1,0,0
4293418678301,18446612689242697192,167097,161255,9115,160,64,7656,468,0,8057,175,0,1,1,0,0,0,1,0,0
4293429023266,18446612689242697192,168114,160669,9115,161,64,7812,156,0,7995,170,0,1,1,0,0,0,1,0,0
4293438855165,18446612689242697192,169258,160173,9115,162,64,7968,0,0,7988,127,0,1,1,0,0,0,1,0,0
4293448078717,18446612689242697192,170364,159549,9115,163,64,7656,0,0,7905,95,0,1,1,0,0,0,1,0,0
4293462337285,18446612689242697192,171635,159106,9115,164,64,8125,0,0,7960,71,0,1,1,0,0,0,1,0,0
4293473518592,18446612689242697192,172934,158484,9115,165,64,7812,0,0,7923,53,0,1,1,0,0,0,1,0,0
4293480661868,18446612689242697192,173672,158093,9115,166,64,8281,0,0,8012,39,0,1,1,0,0,0,1,0,0
4293488830270,18446612689242697192,174558,157453,9115,167,64,8281,312,0,8079,107,0,1,1,0,0,0,1,0,0
4293496113279,18446612689242697192,175495,157189,9115,168,64,8437,0,0,8168,80,0,1,1,0,0,0,1,0,0
4293505875850,18446612689242697192,176665,156615,9115,169,64,7812,0,0,8079,60,0,1,1,0,0,0,1,0,0
4293514881207,18446612689242697192,177674,155976,9115,170,64,7968,312,0,8051,123,0,1,1,0,0,0,1,0,0
4293521788808,18446612689242697192,178477,155531,9115,171,64,8281,468,0,8108,209,0,1,1,0,0,0,1,0,0
4293530113509,18446612689242697192,179484,155017,9115,172,64,8437,0,0,8190,156,0,1,1,0,0,0,1,0,0
4293537494307,18446612689242697192,180303,154556,9115,173,64,7968,0,0,8134,117,0,1,1,0,0,0,1,0,0
4293544643984,18446612689242697192,181175,154228,9115,174,64,8437,312,0,8209,165,0,1,1,0,0,0,1,0,0
4293553687436,18446612689242697192,182097,153612,9115,175,64,8125,0,0,8188,123,0,1,1,0,0,0,1,0,0
4293562475969,18446612689242697192,183043,153247,9115,176,64,8125,312,0,8172,170,0,1,1,0,0,0,1,0,0
4293572695894,18446612689242697192,184260,152825,9115,177,64,7968,0,0,8121,127,0,1,1,0,0,0,1,0,0
4293581239141,18446612689242697192,185332,152263,9115,178,64,7968,0,0,8082,95,0,1,1,0,0,0,1,0,0
4293590880157,18446612689242697192,186512,151584,9115,179,64,7812,312,0,8014,149,0,1,1,0,0,0,1,0,0
4293599247907,18446612689242697192,187435,151292,9115,180,64,7968,312,0,8002,189,0,1,1,0,0,0,1,0,0
4293607564840,18446612689242697192,188396,150666,9115,181,64,7968,156,0,7993,180,0,1,1,0,0,0,1,0,0
4293616452979,18446612689242697192,189560,150256,9115,182,64,8281,156,0,8065,174,0,1,1,0,0,0,1,0,0
4293626675133,18446612689242697192,190634,149754,9115,183,64,7812,156,0,8001,169,0,1,1,0,0,0,1,0,0
4293635322284,18446612689242697192,191705,149069,9115,184,64,7968,312,0,7992,204,0,1,1,0,0,0,1,0,0
4293645211556,18446612689242697192,192766,148606,9115,185,64,8125,0,0,8025,153,0,1,1,0,0,0,1,0,0
4293655047580,18446612689242697192,193873,147907,9115,186,64,7968,156,0,8010,153,0,1,1,0,0,0,1,0,0
4293664209583,18446612689242697192,195157,147532,9115,187,64,7968,0,0,7999,114,0,1,1,0,0,0,1,0,0
4293674894959,18446612689242697192,196167,146860,9115,188,64,7812,0,0,7952,85,0,1,1,0,0,0,1,0,0
4293682285387,18446612689242697192,197030,146569,9115,189,64,7968,312,0,7956,141,0,1,1,0,0,0,1,0,0
4293692860625,18446612689242697192,198231,145952,9115,190,64,7812,156,0,7920,144,0,1,1,0,0,0,1,0,0
4293703501840,18446612689242697192,199330,145442,9115,191,64,7968,312,0,7932,186,0,1,1,0,0,0,1,0,0
4293712107414,18446612689242697192,200326,144917,9115,192,64,8281,0,0,8019,139,0,1,1,0,0,0,1,0,0
4293718053031,18446612689242697192,201092,144562,9115,193,64,8437,156,0,8123,143,0,1,1,0,0,0,1,0,0
4293727457574,18446612689242697192,202269,144016,9115,194,64,7968,0,0,8084,107,0,1,1,0,0,0,1,0,0
4293736152991,18446612689242697192,203236,143497,9115,195,64,7968,0,0,8055,80,0,1,1,0,0,0,1,0,0
4293745938351,18446612689242697192,204479,142877,9115,196,64,8281,0,0,8111,60,0,1,1,0,0,0,1,0,0
4293755038050,18446612689242697192,205519,142399,9115,197,64,7968,0,0,8075,45,0,1,1,0,0,0,1,0,0
4293762192543,18446612689242697192,206353,141999,9115,198,64,8125,156,0,8087,72,0,1,1,0,0,0,1,0,0
4293772302509,18446612689242697192,207537,141363,9115,199,64,8125,156,0,8096,93,0,1,1,0,0,0,1,0,0
4293782653996,18446612689242697192,208689,140935,9115,200,64,8437,156,0,8181,108,0,1,1,0,0,0,1,0,0
4293792706490,18446612689242697192,209841,140285,9115,201,64,8593,156,0,8284,120,0,1,1,0,0,0,1,0,0
4293800812690,18446612689242697192,210820,139857,9115,202,64,8437,312,0,8322,168,0,1,1,0,0,0,1,0,0
4293808976084,18446612689242697192,211680,139373,9115,203,64,8125,312,0,8272,204,0,1,1,0,0,0,1,0,0
4293818014405,18446612689242697192,212766,138863,9115,204,64,7968,0,0,8196,153,0,1,1,0,0,0,1,0,0
4293827426779,18446612689242697192,213933,138324,9115,205,64,7968,0,0,8139,114,0,1,1,0,0,0,1,0,0
4293835792768,18446612689242697192,215102,137973,9115,206,64,8437,0,0,8213,85,0,1,1,0,0,0,1,0,0
4293844442569,18446612689242697192,216067,137340,9115,207,64,7968,156,0,8151,102,0,1,1,0,0,0,1,0,0
4293852572803,18446612689242697192,216963,136798,9115,208,64,8281,312,0,8183,154,0,1,1,0,0,0,1,0,0
4293861348576,18446612689242697192,218006,136354,9115,209,64,7812,0,0,8090,115,0,1,1,0,0,0,1,0,0
4293874991408,18446612689242697192,219395,135602,9115,210,64,7656,0,0,7981,86,0,1,1,0,0,0,1,0,0
4293884777445,18446612689242697192,220499,134982,9115,211,64,7812,156,0,7938,103,0,1,1,0,0,0,1,0,0
4293893985214,18446612689242697192,221630,134611,9115,212,64,8281,312,0,8023,155,0,1,1,0,0,0,1,0,0
