timestamp,window_id,seq_ratio,avg_irr,unique_ratio,irr_0_1k,irr_1k_10k,irr_10k_plus
1774424617.083100680,23,10000,0,10000,0,0,0
1774424617.093050252,37,9988,0,10000,0,0,0
1774424617.116817481,38,10000,0,10000,0,0,0
1774424617.139593671,39,10000,0,10000,0,0,0
1774424617.158997563,40,10000,0,10064,0,0,0
1774424617.189768625,22,9913,87168,10000,0,0,10000
1774424617.218497167,41,9999,0,10000,0,0,0
1774424617.244012169,42,10000,0,10000,0,0,0
1774424617.267726502,43,10000,0,10000,0,0,0
1774424617.291448787,44,10000,0,10064,0,0,0
1774424617.310827242,45,10000,0,10000,0,0,0
1774424617.338737647,46,10000,0,10000,0,0,0
1774424617.363404238,47,10000,0,10000,0,0,0
1774424617.387418894,48,10000,0,10064,0,0,0
1774424617.412753960,49,10000,0,10000,0,0,0
1774424617.433037827,50,10000,0,10000,0,0,0
1774424617.457630203,51,10000,0,10000,0,0,0
1774424617.493327798,24,9991,0,10064,0,0,0
1774424617.522279889,25,9990,0,10000,0,0,0
1774424617.546491662,26,10000,0,10000,0,0,0
1774424617.571039621,27,10000,0,10000,0,0,0
1774424617.581924509,52,9999,0,10064,0,0,0
1774424617.606298411,53,10000,0,10000,0,0,0
1774424617.626234247,54,10000,0,10000,0,0,0
1774424617.645231466,55,10000,0,10000,0,0,0
1774424617.675209627,56,10000,0,10064,0,0,0
1774424617.714213278,28,9999,0,10064,0,0,0
1774424617.746391534,29,10000,0,10000,0,0,0
1774424617.771606959,30,10000,0,10000,0,0,0
1774424617.797156392,31,10000,0,10000,0,0,0
1774424617.820582856,32,10000,0,10064,0,0,0
1774424617.840111093,33,10000,0,10000,0,0,0
1774424617.903069081,34,9980,0,10000,0,0,0
1774424621.639915869,15,6310,48093,9038,5909,909,3181
1774424621.840797307,57,7396,341472,9423,2727,1363,5909
1774424622.104003585,16,2,30391,5769,3958,4270,1770
1774424622.198702567,58,0,94168,6346,4756,3414,1829
1774424622.294205206,17,1,20730,6346,3440,4408,2150
1774424622.464454395,18,3,14867,5833,4408,4086,1505
1774424622.682811473,59,4,95135,6474,3444,4111,2444
1774424622.687953872,19,1,19824,5897,4600,3300,2100
1774424622.824480464,20,1,14974,5641,4285,3523,2190
1774424623.052621803,23,1190,50142,6410,4861,3055,2083
1774424623.186834943,21,0,23208,5897,3921,3823,2254
1774424623.280469032,60,2,91273,6410,3917,3505,2577
1774424623.390707339,22,2,19214,5769,3669,4036,2293
1774424623.466520333,24,3,49858,6025,3921,3529,2549
1774424623.578082303,23,8,21580,5320,4482,3017,2500
1774424623.613351404,35,4527,153937,8397,4772,909,4318
1774424623.729499164,61,3,84370,5769,4035,3070,2894
1774424623.817118835,24,0,20024,6025,4285,2952,2761
1774424623.964193199,62,5,58864,5769,4215,4117,1666
1774424624.055657045,25,3,17554,6025,4476,2857,2666
1774424624.249223972,26,8,23881,5512,5046,2523,2429
1774424624.390601961,27,3,28922,6025,3703,3148,3148
1774424624.433058759,63,10,78977,6410,2924,3867,3207
1774424624.539025146,64,11,67162,6025,3838,3838,2323
1774424624.747182061,65,9,30901,5256,4594,3063,2342
1774424624.811880461,28,6,31489,6089,3853,3027,3119
1774424624.994233903,66,3,34423,6089,3398,3883,2718
1774424625.013067706,29,4,27278,5576,3865,3193,2941
1774424625.082152255,25,6,55063,5897,4454,2818,2727
1774424625.297445779,26,13,47457,6153,3090,3909,3000
1774424625.351607911,0,2867,2521,5576,4637,5362,0
1774424625.435939356,30,8,33695,6089,2649,4102,3247
1774424625.506726467,67,8,52211,5769,3947,3157,2894
1774424625.610583701,31,3,30012,5128,4062,3125,2812
1774424625.737000867,32,12,23578,5576,4033,3361,2605
1774424625.827613983,68,8,63027,5320,4262,3278,2459
1774424625.943245413,33,8,37785,5897,3859,2982,3157
1774424626.081326772,34,9,31004,5448,4385,2807,2807
1774424626.201486377,35,3,29461,5961,3963,2882,3153
1774424626.239774613,69,6,63457,5512,4032,2741,3225
1774424626.363863343,70,14,59880,5641,4529,2649,2820
1774424626.418046814,36,15,20025,5384,4568,2931,2500
1774424626.561995231,71,7,74197,6025,3846,2905,3247
1774424626.666928772,72,8,60867,5769,4152,2796,3050
1774424626.777771664,37,6,33554,5512,3760,3504,2735
1774424626.885582470,27,10,41557,5320,4649,2982,2368
1774424626.979042886,28,14,45784,6025,3684,3245,3070
1774424627.060183242,0,996,3017,3910,3157,6842,0
1774424627.146767779,73,12,86931,5833,3790,2903,3306
1774424627.164693467,38,4,38851,5897,3947,3508,2543
1774424627.291920222,74,9,74079,5705,4234,2882,2882
1774424627.423053844,75,15,70730,5384,3809,3095,3095
1774424627.441099252,39,15,37295,6025,4128,3302,2568
1774424627.530016518,40,5,38842,5384,4553,3125,2321
1774424627.620400953,41,11,39927,6858,2429,3457,4112
1774424627.716096196,42,23,44939,5961,3728,2881,3389
1774424627.879437869,43,14,34295,5641,3859,3684,2456
1774424627.971714447,44,36,52026,5769,3966,2975,3057
1774424628.042801800,76,19,60182,5897,3781,2689,3529
1774424628.125290962,77,16,50671,5320,3916,3583,2500
1774424628.199975418,45,10,33566,5320,4240,2800,2960
1774424628.286644447,46,20,48699,5961,3389,3728,2881
1774424628.397521064,47,21,46534,5641,3280,3200,3520
1774424628.424029452,36,18,101524,5384,4333,2833,2833
1774424628.580041257,48,15,68665,6602,3362,2413,4224
1774424628.661746316,49,11,47188,5833,3504,3333,3162
1774424628.725155516,78,21,72883,6474,2711,3389,3898
1774424628.773037248,50,20,46074,5512,3553,3305,3140
1774424628.899293355,51,21,48936,5576,3620,3275,3103
1774424629.005732288,52,22,56346,5897,3223,3305,3471
1774424629.082551625,79,30,94595,6794,2307,3076,4615
1774424629.264470526,53,10,45264,5769,3931,2991,3076
1774424629.315796031,80,24,43744,5384,3504,4017,2478
1774424629.442108375,81,36,66404,5833,3801,2727,3471
1774424629.515561497,37,7,96504,5384,3385,3307,3307
1774424629.641262768,29,18,67159,5897,3440,2720,3840
1774424629.773077708,82,9,56468,5641,4615,2307,3076
1774424629.776056604,54,30,54296,5576,3920,2800,3280
1774424629.934118363,55,32,52252,5769,4137,2413,3448
1774424629.984655589,83,20,68772,5641,3781,3361,2857
1774424630.068220912,84,24,41468,5384,3809,3095,3095
1774424630.169407883,1,6,6159,5705,3471,3223,3305
1774424630.204568552,56,15,53728,5512,3076,3538,3384
1774424630.321841284,85,35,53489,6217,2926,2926,4146
1774424630.365093120,57,29,68619,5897,3305,3057,3636
1774424630.500613078,58,16,56789,5384,4033,3109,2857
1774424630.614812209,86,28,54337,5384,4347,3130,2521
1774424630.717474996,87,30,88784,5833,3145,2903,3951
1774424630.789888765,59,22,49209,5769,3416,3250,3333
1774424630.927428708,30,19,49500,5641,3252,3658,3089
1774424630.966088979,38,35,65270,5512,4152,3305,2542
1774424631.058769447,31,30,52695,5256,3809,3333,2857
1774424631.136305225,88,35,77932,6025,2975,3305,3719
1774424631.167572760,60,37,59067,5512,4140,2421,3437
1774424631.248643273,1,24,6134,6089,4285,2232,3482
1774424631.294750998,32,25,54193,5769,3488,2868,3643
1774424631.364811208,89,27,61841,5512,4067,3220,2711
1774424631.459140175,90,26,109995,6089,3223,3140,3636
1774424631.526608222,61,37,60272,6089,2869,4000,3130
1774424631.597000139,91,29,87906,6282,2689,3445,3865
1774424631.692290533,62,27,49806,5833,3826,3391,2782
1774424631.730157323,92,33,47512,5641,3937,2598,3464
1774424631.857223192,93,32,112387,5961,2734,3359,3906
1774424631.937161466,94,34,56972,5064,3565,4031,2403
1774424632.023339367,2,10,9520,6025,3252,3333,3414
1774424632.134734560,95,32,95827,5897,3658,2926,3414
1774424632.260825096,33,28,50142,5192,3953,2945,3100
1774424632.288499322,63,22,49325,5641,3495,3333,3170
1774424632.329164839,96,22,121620,5448,4153,2384,3461
1774424632.474127327,64,35,77759,5448,3593,3515,2890
1774424632.575288866,65,26,49176,5769,3008,3658,3333
1774424632.616893389,97,34,56143,4871,4453,2734,2812
