tid,seq_ratio,avg_stride
13691,0.715,15.6
13701,0.984,7.5
13701,0.973,5.5
13691,0.714,16.0
13701,0.967,5.2
13691,0.725,14.6
13701,0.983,7.9
13701,0.977,10.6
13691,0.706,17.1
13701,0.979,6.7
13701,0.978,8.2
13691,0.690,17.2
13701,0.983,6.7
13691,0.721,19.7
13701,0.979,7.6
13701,0.981,6.3
13691,0.699,14.1
13701,0.983,7.9
13691,0.726,16.9
13701,0.981,8.0
13701,0.988,8.1
13691,0.706,20.8
13701,0.978,6.2
13691,0.718,16.0
13701,0.980,8.1
13691,0.722,18.8
13701,0.976,7.8
13701,0.990,7.1
13691,0.733,16.2
13701,0.978,7.8
13701,0.977,8.0
13691,0.723,17.5
13701,0.984,6.7
13691,0.702,17.1
13701,0.979,8.3
13701,0.982,8.8
13691,0.720,19.8
13701,0.985,7.5
13691,0.720,18.5
13701,0.971,7.6
13701,0.982,7.1
13691,0.713,12.8
13701,0.982,8.5
13701,0.979,7.7
13691,0.717,18.3
13701,0.976,6.7
13691,0.710,18.8
13701,0.981,9.2
13701,0.988,8.9
13691,0.716,17.8
13701,0.980,7.4
13691,0.729,18.1
13701,0.984,7.1
13701,0.987,7.6
13691,0.722,16.3
13701,0.981,8.6
13701,0.976,5.9
13691,0.725,13.4
13701,0.973,5.3
13691,0.702,18.9
13701,0.971,5.8
13701,0.982,8.7
13691,0.713,12.7
13701,0.982,7.8
13701,0.979,7.7
13691,0.706,14.1
13701,0.990,7.6
13691,0.717,17.2
13701,0.975,6.6
13701,0.980,7.1
13691,0.719,14.7
13701,0.980,7.1
13691,0.703,16.9
13701,0.980,8.9
13701,0.985,7.3
13691,0.726,20.3
13701,0.988,7.9
13691,0.713,16.7
13701,0.970,6.8
13701,0.982,7.9
13691,0.699,16.6
13701,0.980,7.2
13691,0.712,14.3
13701,0.983,6.4
13701,0.982,7.1
13691,0.729,19.4
13701,0.986,9.6
13691,0.726,12.9
13701,0.975,6.5
13701,0.981,9.6
13691,0.707,14.1
13701,0.971,9.7
13691,0.723,15.2
13701,0.982,7.8
13701,0.983,8.2
13691,0.725,20.6
13701,0.985,7.4
13691,0.732,13.5
13701,0.978,7.7
13701,0.985,7.5
13691,0.734,15.4
13701,0.983,7.8
13691,0.715,18.4
13701,0.975,7.3
13701,0.975,7.6
13691,0.718,18.5
13701,0.981,6.5
13701,0.983,7.1
13691,0.730,16.5
13701,0.983,8.1
13701,0.985,6.9
13691,0.706,16.6
13701,0.971,7.4
13691,0.725,15.4
13701,0.986,7.2
13691,0.715,16.2
13701,0.972,8.8
13701,0.987,7.8
13691,0.702,17.3
13701,0.978,8.4
13701,0.980,8.2
13691,0.700,15.5
13701,0.974,8.7
13691,0.724,15.3
13701,0.979,7.5
13701,0.982,7.6
13691,0.707,18.4
13701,0.987,7.2
13691,0.718,16.1
13701,0.985,6.6
13701,0.982,7.0
13691,0.724,19.2
13701,0.982,7.2
13691,0.727,22.5
13701,0.983,8.1
13691,0.718,17.8
13701,0.971,5.5
13691,0.727,19.5
13701,0.965,7.9
13701,0.981,7.2
13701,0.986,8.1
13691,0.715,19.5
13701,0.981,8.4
13691,0.709,16.3
13701,0.982,8.3
13701,0.972,6.4
13691,0.711,24.1
13701,0.972,6.6
13701,0.979,7.6
13691,0.719,14.5
13701,0.977,7.0
13691,0.719,18.4
13701,0.982,11.2
13691,0.716,13.9
13701,0.972,5.6
13701,0.989,7.4
13701,0.987,11.4
13691,0.723,15.9
13701,0.974,5.3
13691,0.721,13.1
13701,0.974,5.3
13701,0.990,10.3
13691,0.706,16.5
13701,0.974,5.0
13701,0.984,8.2
13691,0.714,16.8
13701,0.971,7.9
13691,0.703,13.8
13701,0.980,7.7
13701,0.983,5.8
13691,0.714,14.9
13701,0.980,6.8
13701,0.983,6.3
13691,0.709,16.2
13701,0.986,6.1
13701,0.979,7.1
13691,0.726,19.6
13701,0.980,4.7
13691,0.697,16.7
13701,0.974,6.4
13701,0.968,7.9
13691,0.704,14.8
13701,0.967,5.8
13701,0.985,9.7
13691,0.692,19.5
13701,0.979,9.7
13701,0.969,5.6
13691,0.699,16.1
13701,0.986,6.1
13701,0.980,6.9
13691,0.691,20.3
13701,0.982,8.2
13701,0.984,6.2
13691,0.725,16.8
13701,0.980,8.3
13701,0.975,6.5
13691,0.715,14.0
13701,0.977,8.7
13701,0.984,6.9
13691,0.720,14.1
13701,0.989,6.1
13701,0.986,8.3
13691,0.734,18.7
13701,0.972,7.4
13691,0.723,20.1
13701,0.985,5.4
13701,0.967,5.4
13691,0.701,17.0
13701,0.985,9.6
13701,0.984,4.4
13691,0.722,17.6
13701,0.984,9.1
13701,0.980,5.1
13691,0.707,12.7
13701,0.985,10.2
13701,0.975,5.3
13691,0.712,15.5
13701,0.986,7.1
13701,0.972,5.5
13691,0.718,17.2
13701,0.967,6.4
13691,0.709,11.5
13701,0.982,8.7
13701,0.985,7.9
13701,0.984,6.6
13691,0.717,25.9
13701,0.974,5.7
13691,0.706,17.9
13701,0.981,8.5
13691,0.715,16.5
13701,0.971,8.1
13691,0.725,17.1
13701,0.967,7.9
13701,0.977,6.7
13691,0.720,15.6
13701,0.978,6.2
13701,0.986,8.8
13701,0.989,8.8
13691,0.718,20.2
13701,0.992,5.1
13691,0.698,21.3
13701,0.980,9.9
13691,0.719,15.6
13701,0.980,6.6
13691,0.705,16.3
13701,0.985,7.3
13701,0.988,7.6
13701,0.993,8.1
13701,0.983,9.8
13691,0.711,20.1
13701,0.976,5.6
13691,0.737,13.4
13701,0.977,5.7
13701,0.985,6.8
13691,0.731,15.4
13701,0.984,7.3
13701,0.983,6.3
13691,0.713,16.0
13701,0.984,5.9
13691,0.716,18.2
13701,0.981,5.1
13701,0.983,10.1
13691,0.725,20.5
13701,0.978,6.0
13701,0.983,7.3
13691,0.700,15.4
13701,0.977,8.3
13701,0.986,7.6
13691,0.714,13.5
13701,0.973,6.2
13691,0.733,16.3
13701,0.957,4.9
13701,0.981,9.3
13691,0.720,22.0
13701,0.980,5.6
13701,0.980,7.0
13701,0.984,7.9
13691,0.707,20.7
13701,0.979,7.9
13691,0.722,28.7
13701,0.979,6.6
13701,0.979,8.3
13691,0.725,17.1
13701,0.985,8.2
13701,0.979,5.5
13691,0.719,15.6
13701,0.982,5.6
13691,0.707,18.5
13701,0.979,7.4
13701,0.977,8.6
13691,0.708,24.4
13701,0.977,6.5
13701,0.983,8.1
13691,0.707,24.9
13691,0.715,21.4
13691,0.711,16.0
13701,0.980,6.6
13691,0.723,18.0
13701,0.948,5.9
13691,0.721,24.9
13701,0.988,5.9
13691,0.712,17.1
13701,0.984,5.7
13701,0.978,8.1
13701,0.990,9.0
13691,0.705,18.8
13701,0.984,8.8
13691,0.716,25.5
13701,0.981,5.3
13691,0.720,18.9
13701,0.972,7.6
13701,0.977,6.4
13701,0.981,8.7
13691,0.703,15.7
13701,0.992,9.2
13691,0.718,13.3
13701,0.971,9.3
13691,0.709,14.6
13691,0.708,20.0
13701,0.987,8.6
13691,0.717,20.9
13701,0.972,8921.6
13701,0.994,8.0
13701,0.988,8.0
13691,0.725,24.1
13701,0.980,9.3
13691,0.721,16.8
13701,0.970,11.3
13691,0.717,22.7
13701,0.988,9.0
13691,0.731,24.0
13691,0.721,24.2
